"country_other","totalcases","totaldeaths","totalrecovered","activecases","serious_critical","tot_cases_1m_pop","deaths_1m_pop","totaltests","tests_1m_pop","population","1_caseevery_x_ppl","1_deathevery_x_ppl","1_testevery_x_ppl","active_cases_1m_pop"
"Burundi",54721,38,53569,1114,NA,4334,3,345742,27386,12624840,231,332233,37,88
"Seychelles",51220,172,51048,0,NA,515157,1730,NA,NA,99426,2,578,NA,NA
"Gabon",49051,307,48674,70,NA,21038,132,1621909,695641,2331533,48,7595,1,30
"Andorra",48015,165,NA,NA,NA,619844,2130,249838,3225256,77463,2,469,0,3705
"Papua New Guinea",46864,670,46168,26,NA,5043,72,249149,26813,9292169,198,13869,37,3
"Curaçao",45986,295,44720,971,3,277812,1782,496693,3000640,165529,4,561,0,5866
"Aruba",44224,292,42438,1494,2,410969,2714,177885,1653068,107609,2,369,1,13884
"Tanzania",43223,846,NA,NA,NA,683,13,NA,NA,63298550,1464,74821,NA,667
"Mauritius",43025,1051,41278,696,NA,33752,824,358675,281374,1274727,30,1213,4,546
"Mayotte",42027,188,NA,NA,NA,146815,657,176919,618038,286259,7,1523,2,135804
"Togo",39572,290,39281,1,NA,4559,33,815204,93908,8680837,219,29934,11,0.1
"Guinea",38572,468,37757,347,NA,2782,34,660107,47607,13865691,359,29628,21,25
"Bahamas",38084,844,36366,874,1,95087,2107,257839,643767,400516,11,475,2,2182
"Isle of Man",38008,116,NA,NA,NA,443335,1353,150753,1758422,85732,2,739,1,129450
"Lesotho",36138,723,25980,9435,NA,16610,332,431221,198199,2175699,60,3009,5,4337
"Haiti",34667,860,33734,73,NA,2968,74,132422,11337,11680283,337,13582,88,6
"Faeroe Islands",34658,28,NA,NA,NA,703959,569,778000,15802409,49233,1,1758,0,547133
"Mali",33164,743,32332,89,NA,1544,35,804909,37483,21473764,648,28901,27,4
"Cayman Islands",31472,37,8553,22882,1,467797,550,222773,3311280,67277,2,1818,0,340116
"Saint Lucia",30215,410,29805,0,NA,163225,2215,210983,1139752,185113,6,451,1,NA
"Benin",28036,163,27847,26,NA,2193,13,604310,47268,12784726,456,78434,21,2
"Macao",27673,123,3487,24063,NA,41458,184,7850,11760,667490,24,5427,85,36050
"Somalia",27334,1361,13182,12791,NA,1623,81,400466,23778,16841795,616,12375,42,759
"Micronesia",26547,65,NA,NA,NA,225953,553,82430,701598,117489,4,1808,1,162271
"San Marino",26185,128,26011,46,NA,768226,3755,196855,5775414,34085,1,266,0,1350
"Solomon Islands",25954,199,NA,NA,NA,35989,276,NA,NA,721159,28,3624,NA,13032
"Congo",25375,386,24006,983,NA,4377,67,347815,59991,5797805,228,15020,17,170
"Timor-Leste",23460,138,23102,220,NA,17131,101,278529,203391,1369429,58,9923,5,161
"Burkina Faso",22114,400,21596,118,NA,1001,18,248995,11265,22102838,999,55257,89,5
"Liechtenstein",21574,94,NA,NA,NA,562013,2449,112457,2929559,38387,2,408,0,3334
"Gibraltar",20550,113,NA,NA,NA,609720,3353,534283,15852213,33704,2,298,0,114467
"Grenada",19693,238,19358,97,4,173545,2097,182981,1612523,113475,6,477,1,855
"Bermuda",18860,165,18685,10,NA,304493,2664,1029558,16622128,61939,3,375,0,161
"South Sudan",18819,147,18115,557,1,1620,13,410280,35313,11618511,617,79037,28,48
"Nicaragua",18491,225,4225,14041,NA,2728,33,NA,NA,6779100,367,30129,NA,2071
"Tajikistan",17786,125,17264,397,NA,1786,13,NA,NA,9957464,560,79660,NA,40
"Equatorial Guinea",17229,183,16907,139,5,11512,122,365697,244342,1496662,87,8178,4,93
"Monaco",17181,67,NA,NA,NA,431868,1684,78646,1976875,39783,2,594,1,28203
"Samoa",17006,31,1605,15370,NA,84089,153,187397,926612,202239,12,6524,1,75999
"Tonga",16950,13,15638,1299,NA,157310,121,535009,4965327,107749,6,8288,0,12056
"Marshall Islands",16138,17,16121,0,NA,268711,283,NA,NA,60057,4,3533,NA,NA
"Dominica",16038,74,15964,0,NA,221691,1023,229344,3170187,72344,5,978,0,NA
"Djibouti",15690,189,15427,74,NA,15441,186,305941,301094,1016097,65,5376,3,73
"CAR",15440,113,15200,127,2,3078,23,81294,16205,5016678,325,44395,62,25
"Gambia",12626,372,12189,65,NA,4935,145,155686,60851,2558482,203,6878,16,25
"Saint Martin",12324,63,NA,NA,NA,310194,1586,112382,2828643,39730,3,631,0,273395
"Vanuatu",12019,14,11976,29,NA,37346,44,24976,77606,321832,27,22988,13,90
"Greenland",11971,21,2761,9189,4,210117,369,164926,2894810,56973,5,2713,0,161287
"Yemen",11945,2159,9124,662,NA,383,69,329592,10579,31154867,2608,14430,95,21
"Caribbean Netherlands",11682,38,10476,1168,NA,438398,1426,30126,1130559,26647,2,701,1,43832
"Sint Maarten",11051,92,10905,54,NA,251353,2093,62056,1411454,43966,4,478,1,1228
"Eritrea",10189,103,10086,0,NA,2782,28,23693,6470,3662244,359,35556,155,NA
"Niger",9931,312,8890,729,1,381,12,254538,9759,26083660,2626,83601,102,28
"St. Vincent Grenadines",9674,124,9493,57,NA,86723,1112,114197,1023720,111551,12,900,1,511
"Guinea-Bissau",9614,177,8929,508,6,4659,86,145231,70385,2063367,215,11657,14,246
"Comoros",9109,161,8939,9,NA,10038,177,NA,NA,907419,100,5636,NA,10
"Antigua and Barbuda",9106,146,8954,6,NA,91509,1467,18901,189943,99509,11,682,5,60
"Liberia",8090,295,7783,12,2,1525,56,139824,26356,5305117,656,17983,38,2
"Sierra Leone",7779,126,NA,NA,NA,937,15,259958,31296,8306436,1068,65924,32,332
"Chad",7701,194,4874,2633,NA,442,11,191341,10988,17413580,2261,89761,91,151
"British Virgin Islands",7392,64,NA,NA,NA,241600,2092,107339,3508269,30596,4,478,0,3236
"Cook Islands",7203,2,7150,51,NA,409937,114,19690,1120596,17571,2,8786,1,2903
"Sao Tome and Principe",6778,80,6685,13,NA,29770,351,29600,130008,227679,34,2846,8,57
"Turks and Caicos",6752,40,6709,3,4,169900,1007,616788,15520193,39741,6,994,0,75
"Saint Kitts and Nevis",6607,48,6559,0,NA,122645,891,126958,2356704,53871,8,1122,0,NA
"Palau",6290,10,6276,4,NA,344979,548,71434,3917841,18233,3,1823,0,219
"St. Barth",5507,6,NA,NA,NA,553746,603,78646,7908095,9945,2,1658,0,506687
"Nauru",5393,1,5347,45,NA,494635,92,20509,1881042,10903,2,10903,1,4127
"Kiribati",5085,24,2703,2358,3,41201,194,NA,NA,123419,24,5142,NA,19106
"Anguilla",3904,12,NA,NA,NA,256336,788,51382,3373736,15230,4,1269,0,854
"Wallis and Futuna",3550,8,438,3104,NA,323256,728,20508,1867419,10982,3,1373,1,282644
"Saint Pierre Miquelon",3452,2,2449,1001,NA,599410,347,25400,4410488,5759,2,2880,0,173815
"Tuvalu",2943,1,NA,NA,NA,243909,83,NA,NA,12066,4,12066,NA,243826
"Saint Helena",2166,NA,2,2164,NA,354211,NA,NA,NA,6115,3,NA,NA,353884
"Falkland Islands",1930,NA,1930,0,NA,545352,NA,8632,2439107,3539,2,NA,0,NA
"Montserrat",1403,8,1376,19,NA,282578,1611,17762,3577442,4965,4,621,0,3827
"Niue",1059,NA,1056,3,NA,652898,NA,NA,NA,1622,2,NA,NA,1850
"Diamond Princess",712,13,699,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tokelau",80,NA,NA,80,NA,58055,NA,NA,NA,1378,17,NA,NA,58055
"Vatican City",29,NA,29,0,NA,36295,NA,NA,NA,799,28,NA,NA,NA
"Western Sahara",10,1,9,0,NA,16,2,NA,NA,626161,62616,626161,NA,NA
"MS Zaandam",9,2,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"China",503302,5272,379053,118977,NA,347,4,1.6e+08,110461,1448471400,2878,274748,9,82
